證券代號,投標開始日,近一月營收,近一月營收年增率,近一月營收月增率,營收增長規律性_R2,營收風險波動率_cv,近五月成長次數比率
6855,2022-09-16,37189.0,0.201,-0.267,0.05,0.139,0.5
6856,2023-10-05,32880.0,0.025,0.032,0.0,0.041,0.75
6859,2022-11-08,62850.0,0.122,-0.249,0.858,0.177,0.25
6861,2023-03-07,166849.0,0.135,0.156,0.029,0.094,0.5
6865,2022-12-21,55000.0,-0.011,0.02,0.614,0.2,0.75
6870,2023-08-25,48095.0,0.063,0.007,0.373,0.089,0.5
6872,2025-02-14,368.0,10000.0,0.051,0.583,1.44,0.5
6874,2022-11-24,94486.0,0.915,0.645,0.206,0.253,0.5
6875,2024-03-06,0.0,10000.0,-1.0,0.0,2.0,0.25
6877,2023-05-29,28187.0,0.322,3.862,0.005,0.498,0.75
6881,2024-04-30,134413.0,0.608,-0.051,0.41,0.111,0.25
6884,2025-12-02,132936.0,0.273,0.257,0.788,0.151,1.0
6885,2024-11-26,201.0,10000.0,5.091,0.0,1.194,0.5
6890,2024-05-22,3534655.0,0.5,0.18,0.241,0.156,0.75
6894,2023-11-09,86158.0,0.229,0.293,0.854,0.223,0.75
6895,2023-08-02,23374.0,-0.356,-0.417,0.152,0.165,0.75
6899,2024-03-15,61456.0,-0.448,-0.237,0.806,0.131,0.0
6901,2023-08-30,38029.0,-0.988,1.041,0.0,1.251,0.75
6903,2024-05-22,372651.0,0.9,0.207,0.808,0.205,0.75
6904,2023-11-15,67989.0,0.114,-0.297,0.121,0.11,0.25
6906,2023-12-25,42144.0,0.143,-0.043,0.252,0.066,0.5
6907,2026-01-14,217125.0,0.7,0.318,0.876,0.219,1.0
6909,2025-05-06,23764.0,-0.121,-0.566,0.584,0.525,0.25
6910,2025-11-26,32822.0,0.39,0.012,0.004,0.071,0.75
6913,2024-09-10,192981.0,0.145,0.043,0.54,0.054,0.75
6914,2024-04-12,375546.0,0.161,-0.03,0.183,0.054,0.25
6916,2023-11-15,155830.0,-0.343,0.026,0.515,0.073,0.75
6918,2025-05-23,62017.0,0.057,-0.183,0.007,0.078,0.5
6919,2024-09-11,11116.0,10000.0,-0.084,0.0,0.848,0.25
6922,2023-10-20,107725.0,-0.005,0.296,0.345,0.103,0.5
6923,2024-09-04,129948.0,0.355,-0.048,0.913,0.173,0.25
6925,2025-05-13,16286.0,-0.009,0.038,0.654,0.046,0.75
6928,2024-04-25,206661.0,0.041,0.053,0.013,0.2,0.5
6929,2024-03-08,267005.0,0.133,-0.044,0.001,0.019,0.5
6931,2024-12-25,88812.0,0.141,0.041,0.086,0.024,0.5
6936,2025-04-11,103976.0,-0.027,-0.091,0.647,0.075,0.25
6937,2023-11-22,383580.0,1.564,3.287,0.336,0.68,0.5
6944,2025-05-13,1127621.0,0.276,-0.018,0.562,0.124,0.25
6951,2024-05-31,56818.0,0.321,0.193,0.42,0.125,0.75
6952,2024-05-23,88808.0,0.012,-0.112,0.951,0.116,0.0
6953,2024-04-22,114494.0,0.192,-0.046,0.668,0.18,0.75
6955,2024-11-21,21388.0,0.394,0.231,0.182,0.107,0.5
6958,2024-07-31,1019512.0,0.097,0.208,0.028,0.085,0.5
6961,2026-01-07,259748.0,-0.143,0.043,0.469,0.183,0.5
6965,2025-02-14,1720171.0,0.13,-0.166,0.411,0.107,0.5
6967,2024-09-04,118396.0,-0.019,-0.183,0.072,0.082,0.5
6968,2024-07-25,228636.0,0.052,0.013,0.007,0.008,0.75
6969,2024-08-20,15764.0,0.118,1.211,0.095,0.276,0.25
6971,2025-09-16,164138.0,-0.144,-0.146,0.682,0.182,0.25
6982,2024-11-28,126159.0,0.072,0.105,0.065,0.097,0.75
6994,2024-12-25,344029.0,2.539,1.488,0.612,0.479,0.75
6996,2024-11-20,258000.0,0.144,0.113,0.257,0.049,0.5
6997,2024-11-26,341181.0,-0.178,0.018,0.34,0.027,0.5
7547,2025-07-14,30625.0,0.033,-0.061,0.764,0.13,0.5
7556,2020-10-12,34180.0,0.058,0.021,0.748,0.077,0.25
7584,2024-07-05,137196.0,2.37,0.894,0.553,0.463,0.5
7610,2025-08-25,119064.0,0.246,0.008,0.01,0.046,0.75
7631,2025-02-25,74989.0,1.397,0.467,0.105,0.185,0.5
7642,2025-05-07,71987.0,0.227,-0.28,0.029,0.215,0.25
7703,2024-10-23,182232.0,1.157,-0.083,0.5,0.206,0.5
7704,2024-11-26,64995.0,0.253,-0.148,0.365,0.09,0.5
7705,2024-11-06,504004.0,0.064,-0.092,0.361,0.037,0.5
7708,2024-10-25,191763.0,0.065,-0.057,0.333,0.046,0.5
7709,2025-02-05,37736.0,-0.484,-0.778,0.631,0.566,0.5
7711,2025-11-04,1888423.0,0.297,-0.407,0.567,0.385,0.75
7712,2024-12-06,116620.0,0.03,0.126,0.281,0.068,0.5
7713,2025-02-04,80734.0,-0.029,0.011,0.013,0.039,0.75
7714,2024-12-25,212196.0,0.543,1.116,0.455,0.351,0.5
7715,2024-12-25,205877.0,-0.577,0.462,0.491,0.175,0.75
7716,2025-10-09,147906.0,-0.131,-0.115,0.822,0.063,0.25
7717,2025-10-31,49820.0,-0.03,-0.157,0.347,0.157,0.25
7718,2025-02-25,151730.0,-0.034,-0.324,0.124,0.129,0.5
7721,2025-07-14,37432.0,-0.321,-0.255,0.033,0.12,0.5
7722,2024-11-15,592204.0,0.316,0.064,0.952,0.047,1.0
7723,2025-04-15,372795.0,-0.14,-0.082,0.944,0.124,0.0
