證券代號,投標開始日,撥券日期(上市、上櫃日期),成交量,成交金額,開盤價,最高價,最低價,收盤價,價差,成交筆數,首日收盤溢價率,首日最高溢價率,首日最低溢價率,最低得標加價率,加權平均加價率
6887,2025-02-17,2025-03-10,1436147,125933452,89.9,89.9,84.6,89.3,0.0,1159,-0.017,-0.011,-0.069,0.598,0.748
6890,2024-05-22,2024-06-12,13473270,2136639082,150.0,184.0,142.0,184.0,0.0,7222,0.468,0.468,0.133,0.424,0.622
6894,2023-11-09,2023-11-29,1339931,252415940,193.0,198.0,175.0,180.5,74.5,1051,0.309,0.436,0.269,0.329,0.378
6895,2023-08-02,2023-08-22,619014,87069017,142.5,144.0,134.0,138.0,38.0,667,-0.019,0.024,-0.047,0.499,0.561
6899,2024-03-15,2024-04-08,1483135,104836605,68.9,72.2,68.0,70.8,20.8,1125,0.06,0.081,0.018,0.523,0.549
6901,2023-08-30,2023-09-19,29086502,1373490285,45.2,49.6,45.0,47.7,0.0,18398,0.011,0.051,-0.046,0.056,0.25
6903,2024-05-22,2024-06-12,2023464,383355619,189.5,195.0,185.0,192.0,41.0,1856,0.094,0.111,0.054,0.262,0.313
6904,2023-11-15,2023-12-05,524815,82851612,149.5,178.0,142.0,171.0,90.0,572,0.536,0.599,0.276,0.548,0.567
6906,2023-12-25,2024-01-15,1278926,241792957,191.0,197.0,182.5,186.0,0.0,1352,0.263,0.338,0.239,0.449,0.473
6907,2026-01-14,2026-01-29,5725964,284147637,49.05,53.0,46.8,49.0,19.0,3189,0.271,0.375,0.214,0.38,0.606
6909,2025-05-06,2025-05-21,2112905,87028037,39.5,42.7,39.4,42.2,0.0,1492,0.135,0.148,0.059,0.38,0.488
6910,2025-11-26,2025-12-11,1667774,66028643,40.5,40.95,38.6,39.6,8.6,1160,0.13,0.168,0.101,0.271,0.345
6913,2024-09-10,2024-10-01,1630870,183862439,114.0,123.0,104.0,123.0,22.5,1249,0.221,0.221,0.032,0.199,0.247
6914,2024-04-12,2024-05-03,1472646,285630821,198.0,202.0,185.5,188.5,0.0,1786,0.004,0.076,-0.012,0.516,0.565
6916,2023-11-15,2023-12-05,3091802,90822786,30.3,30.35,28.6,29.2,0.0,1724,0.088,0.131,0.066,0.289,0.342
6918,2025-05-23,2025-06-10,3915084,497388124,115.0,136.0,115.0,135.0,0.0,2904,0.584,0.596,0.349,0.328,0.364
6922,2023-10-20,2023-11-09,781820,81019881,100.0,110.5,99.7,105.0,23.0,684,0.105,0.163,0.049,0.253,0.344
6923,2024-09-04,2024-09-25,2300891,211828161,97.5,97.5,89.1,91.3,0.0,1857,0.045,0.116,0.02,0.254,0.288
6925,2025-05-13,2025-05-28,1816422,123131828,60.0,77.0,60.0,74.8,29.0,1483,0.419,0.461,0.138,0.28,0.335
6928,2024-04-25,2024-05-16,2729621,236033169,86.5,89.5,84.0,85.5,0.0,2397,0.009,0.056,-0.009,0.452,0.552
6929,2024-03-08,2024-03-28,1064322,89507032,86.0,86.0,80.0,83.0,18.0,843,-0.036,-0.001,-0.071,0.507,0.563
6931,2024-12-25,2025-01-15,1170765,93205605,80.8,81.3,77.0,80.0,0.0,1147,0.025,0.041,-0.014,0.282,0.41
6933,2023-10-19,2023-11-08,2340278,461185187,180.0,238.0,180.0,237.5,0.0,1903,0.551,0.554,0.175,0.625,0.914
6934,2026-01-16,2026-02-02,1232578,183744609,150.0,173.0,129.0,164.5,0.0,1168,0.291,0.358,0.012,2.075,2.185
6936,2025-04-11,2025-04-28,2898378,106415708,35.0,39.2,35.0,38.9,0.0,2268,0.15,0.159,0.035,0.288,0.401
6937,2023-11-22,2023-12-12,3823654,770508529,200.5,216.5,189.5,213.0,0.0,2741,0.264,0.285,0.124,0.61,0.685
6944,2025-05-13,2025-05-28,2813448,1085217606,375.0,397.0,368.0,390.0,0.0,3297,0.224,0.246,0.155,0.373,0.411
6951,2024-05-31,2024-06-18,731280,39378359,55.4,55.6,53.0,54.1,0.0,396,0.014,0.042,-0.006,0.109,0.233
6952,2024-05-23,2024-06-13,1559406,81626591,50.2,54.9,49.5,53.1,0.0,1010,-0.071,-0.039,-0.134,0.002,0.143
6953,2024-04-22,2024-05-13,571547,165405654,295.0,298.0,283.5,286.0,69.0,654,0.04,0.084,0.031,0.432,0.459
6955,2024-11-21,2024-12-06,167020,23599940,133.0,147.5,132.0,147.5,0.0,116,0.212,0.212,0.085,0.213,0.262
6957,2024-06-04,2024-06-25,3910567,1102347542,251.0,301.0,251.0,300.0,0.0,2552,0.624,0.63,0.359,0.402,0.539
6958,2024-07-31,2024-08-20,1974823,63313708,33.6,33.8,31.5,31.55,0.0,1775,-0.012,0.058,-0.014,0.131,0.224
6961,2026-01-07,2026-01-22,721883,44585481,62.2,63.5,60.3,61.9,6.9,733,0.015,0.041,-0.011,0.251,0.308
6962,2024-11-06,2024-11-26,18135022,1072594926,65.0,65.1,55.2,57.8,0.0,9456,-0.017,0.107,-0.061,0.508,0.705
6965,2025-02-14,2025-03-07,6134894,1296660514,222.0,225.0,197.0,200.0,0.0,4785,0.011,0.137,-0.004,0.851,0.978
6967,2024-09-04,2024-09-25,1571316,103797738,64.5,70.0,61.2,70.0,20.0,1315,0.184,0.184,0.036,0.313,0.359
6968,2024-07-25,2024-08-14,1030317,85733581,86.0,86.7,80.2,82.6,14.6,957,0.058,0.111,0.027,0.393,0.446
6969,2024-08-20,2024-09-09,729789,26083570,38.85,38.85,33.3,34.5,0.0,448,-0.001,0.125,-0.036,0.168,0.241
6971,2025-09-16,2025-10-02,953806,38406144,40.5,41.55,39.6,40.0,7.8,796,0.017,0.056,0.007,0.357,0.405
6982,2024-11-28,2024-12-18,1001715,52780144,52.0,55.0,51.5,53.7,2.7,853,0.001,0.025,-0.04,0.275,0.315
6988,2024-10-07,2024-10-23,283000,7675250,28.8,32.0,24.5,25.1,0.0,115,-0.112,0.133,-0.133,0.366,0.413
6994,2024-12-25,2025-01-15,2927712,283002462,92.0,102.5,91.6,97.2,0.0,2473,0.104,0.164,0.04,0.163,0.261
6996,2024-11-20,2024-12-10,766178,184874760,236.0,250.0,236.0,238.5,38.5,945,-0.008,0.04,-0.018,0.283,0.322
6997,2024-11-26,2024-12-16,535517,67083512,129.0,130.5,119.0,119.5,18.5,537,-0.039,0.05,-0.043,0.4,0.428
7547,2025-07-14,2025-07-29,2680506,306304890,110.5,126.0,99.0,116.5,56.5,2415,0.22,0.319,0.037,0.86,0.91
7556,2020-10-12,2020-10-30,650830,71109680,115.0,115.0,105.0,106.0,18.0,555,-0.161,-0.09,-0.169,0.55,0.579
7584,2024-07-05,2024-07-25,880351,110089809,119.5,135.0,117.0,130.5,55.5,782,0.175,0.215,0.053,0.731,0.777
7610,2025-08-25,2025-09-09,2444202,285246584,109.0,124.5,108.0,117.0,0.0,2057,0.125,0.197,0.038,1.018,1.371
7631,2025-02-25,2025-03-13,440574,40234560,90.8,93.0,88.7,91.0,0.0,224,0.095,0.119,0.067,0.452,0.484
7642,2025-05-07,2025-05-22,1157193,95062271,81.0,84.3,80.1,83.6,17.4,868,0.144,0.153,0.096,0.225,0.259
7703,2024-10-23,2024-11-13,1335109,215703752,166.5,168.5,148.0,160.0,40.0,1223,0.033,0.088,-0.045,0.416,0.446
7704,2024-11-26,2024-12-16,750918,61461340,80.1,85.2,79.1,79.5,10.5,647,-0.043,0.026,-0.048,0.318,0.384
7705,2024-11-06,2024-11-26,1725891,139512729,85.5,85.9,78.0,78.2,0.0,1578,-0.085,0.006,-0.087,0.432,0.458
7708,2024-10-25,2024-11-15,1126842,116650291,105.5,109.5,100.5,100.5,28.5,1132,0.039,0.132,0.039,0.517,0.558
